,x,y
0,1,-1
1,0,-1
2,0,-1
3,0,-2
4,-1,-1
5,1,-2
6,0,-1
7,1,-3
8,1,-1
9,0,-3
10,2,-1
11,-1,-3
12,1,-1
13,0,-3
14,2,-1
15,0,-2
16,1,-1
17,0,-1
18,2,-1
19,0,-2
20,1,-1
21,-1,-2
22,1,-2
23,-2,-2
24,2,-2
25,-2,-1
26,2,-1
27,-2,0
28,3,-1
29,-1,0
30,4,-1
31,-1,-1
32,4,0
33,-1,-2
34,4,-1
35,-1,-1
36,5,-1
37,0,-1
38,5,-2
39,0,0
40,5,-3
41,0,1
42,4,-3
43,1,1
44,4,-4
45,0,1
46,4,-5
47,-1,1
48,4,-6
49,-1,2
50,5,-6
51,0,2
52,6,-6
53,-1,2
54,6,-5
55,0,2
56,5,-5
57,1,2
58,4,-5
59,0,2
60,3,-5
61,0,3
62,2,-5
63,1,3
64,1,-5
65,1,2
66,2,-5
67,2,2
68,1,-5
69,2,1
70,2,-5
71,3,1
72,2,-6
73,3,0
74,3,-6
75,3,-1
76,3,-5
77,4,-1
78,3,-4
79,4,0
80,3,-5
81,4,-1
82,2,-5
83,3,-1
84,2,-4
85,3,0
86,3,-4
87,3,1
88,2,-4
89,2,1
90,2,-3
91,1,1
92,2,-4
93,1,0
94,1,-4
95,1,-1
96,1,-3
97,1,-2
98,1,-4
99,1,-3
100,0,-4
101,1,-2
102,1,-4
103,0,-2
104,1,-5
105,0,-3
106,2,-5
107,-1,-3
108,3,-5
109,-2,-3
110,3,-4
111,-2,-4
112,4,-4
113,-1,-4
114,4,-3
115,-2,-4
116,4,-2
117,-1,-4
118,5,-2
119,-1,-5
120,6,-2
121,-1,-4
122,6,-1
123,0,-4
124,6,-2
125,-1,-4
126,7,-2
127,-2,-4
128,7,-1
129,-2,-3
130,7,0
131,-2,-2
132,7,1
133,-3,-2
134,7,2
135,-4,-2
136,7,1
137,-5,-2
138,7,0
139,-5,-1
140,8,0
141,-6,-1
142,8,1
143,-5,-1
144,9,1
145,-4,-1
146,10,1
147,-5,-1
148,10,0
149,-5,-2
150,10,-1
151,-6,-2
152,10,0
153,-5,-2
154,10,-1
155,-6,-2
156,9,-1
157,-7,-2
158,10,-1
159,-7,-1
160,9,-1
161,-8,-1
162,10,-1
163,-7,-1
164,10,-2
165,-7,-2
166,10,-3
167,-7,-3
168,9,-3
169,-8,-3
170,9,-2
171,-9,-3
172,9,-1
173,-8,-3
174,10,-1
175,-8,-4
176,10,-2
177,-8,-3
178,9,-2
179,-9,-3
180,8,-2
181,-10,-3
182,8,-1
183,-9,-3
184,8,0
185,-10,-3
186,9,0
187,-11,-3
188,8,0
189,-11,-2
190,9,0
191,-10,-2
192,9,1
193,-11,-2
194,9,2
195,-11,-3
196,8,2
197,-10,-3
198,7,2
199,-10,-2
200,7,3
201,-9,-2
202,6,3
203,-9,-1
204,7,3
205,-8,-1
206,7,2
207,-7,-1
208,8,2
209,-8,-1
210,7,2
211,-9,-1
212,7,3
213,-10,-1
214,7,4
215,-9,-1
216,7,3
217,-9,0
218,7,4
219,-9,1
220,7,3
221,-10,1
222,6,3
223,-11,1
224,7,3
225,-12,1
226,7,4
227,-13,1
228,8,4
229,-13,0
230,7,4
231,-14,0
232,7,3
233,-14,1
234,6,3
235,-14,0
236,5,3
237,-14,1
238,4,3
239,-15,1
240,3,3
241,-14,1
242,4,3
243,-14,0
244,5,3
245,-13,0
246,4,3
247,-12,0
248,5,3
249,-12,1
250,5,4
251,-12,0
252,5,5
253,-12,-1
254,5,4
255,-12,-2
256,4,4
257,-11,-2
258,3,4
259,-11,-1
260,4,4
261,-10,-1
262,5,4
263,-10,-2
264,4,4
265,-9,-2
266,4,3
267,-10,-2
268,3,3
269,-9,-2
270,3,4
271,-8,-2
272,4,4
273,-8,-1
274,4,5
275,-8,-2
276,3,5
277,-7,-2
278,4,5
279,-8,-2
280,4,4
281,-7,-2
282,5,4
283,-7,-3
284,4,4
285,-7,-2
286,4,3
287,-7,-3
288,4,4
289,-7,-2
290,3,4
291,-8,-2
292,2,4
293,-8,-1
294,1,4
295,-8,-2
296,1,5
297,-9,-2
298,2,5
299,-10,-2
300,2,4
301,-11,-2
302,2,3
303,-10,-2
304,1,3
305,-10,-3
306,2,3
307,-9,-3
308,1,3
309,-8,-3
310,0,3
311,-8,-2
312,-1,3
313,-7,-2
314,0,3
315,-8,-2
316,1,3
317,-8,-1
318,2,3
319,-9,-1
320,2,4
321,-9,0
322,1,4
323,-9,-1
324,2,4
325,-10,-1
326,3,4
327,-10,-2
328,3,3
329,-9,-2
330,3,2
331,-8,-2
332,4,2
333,-7,-2
334,5,2
335,-6,-2
336,5,1
337,-5,-2
338,4,1
339,-6,-2
340,5,1
341,-5,-2
342,4,1
343,-4,-2
344,3,1
345,-4,-3
346,3,0
347,-3,-3
348,2,0
349,-3,-2
350,2,1
351,-2,-2
352,2,2
353,-3,-2
354,2,3
355,-3,-3
356,1,3
357,-3,-4
358,2,3
359,-3,-5
360,3,3
361,-4,-5
362,4,3
363,-3,-5
364,3,3
365,-2,-5
366,4,3
367,-2,-6
368,5,3
369,-3,-6
370,5,4
371,-3,-5
372,5,3
373,-3,-4
374,5,2
375,-3,-5
376,6,2
377,-2,-5
378,7,2
379,-2,-4
380,6,2
381,-1,-4
382,6,3
383,-2,-4
384,5,3
385,-2,-3
386,5,2
387,-2,-2
388,5,3
389,-3,-2
390,6,3
391,-3,-1
392,6,4
393,-2,-1
394,6,5
395,-2,-2
396,7,5
397,-1,-2
398,7,6
399,-1,-1
400,8,6
401,-2,-1
402,8,5
403,-1,-1
404,8,4
405,0,-1
406,7,4
407,1,-1
408,6,4
409,1,-2
410,6,3
411,0,-2
412,7,3
413,0,-3
414,7,2
415,0,-2
416,6,2
417,0,-1
418,6,1
419,-1,-1
420,6,0
421,-1,-2
422,6,-1
423,-2,-2
424,7,-1
425,-2,-3
426,8,-1
427,-2,-4
428,8,-2
429,-1,-4
430,9,-2
431,-1,-5
432,9,-1
433,-1,-4
434,9,0
435,-1,-5
436,9,1
437,-1,-4
438,8,1
439,-2,-4
440,7,1
441,-1,-4
442,7,2
443,-1,-3
444,6,2
445,-1,-2
446,5,2
447,-1,-3
448,6,2
449,0,-3
450,6,3
451,0,-2
452,6,4
453,0,-3
454,6,3
455,0,-4
456,6,2
457,1,-4
458,6,1
459,1,-3
460,5,1
461,0,-3
462,5,0
463,1,-3
464,4,0
465,2,-3
466,4,1
467,1,-3
468,4,2
469,1,-4
470,3,2
471,1,-3
472,3,3
473,1,-2
474,3,4
475,2,-2
476,2,4
477,2,-1
478,2,5
479,3,-1
480,2,6
481,4,-1
482,3,6
483,5,-1
484,3,5
485,6,-1
486,3,4
487,6,0
488,3,5
489,7,0
490,4,5
491,7,-1
492,4,4
493,8,-1
494,4,3
495,9,-1
496,4,4
497,9,-2
498,4,5
499,8,-2
500,4,4
501,9,-2
502,4,3
503,10,-2
504,4,4
505,10,-1
506,3,4
507,9,-1
508,3,3
509,9,-2
510,4,3
511,9,-3
512,3,3
513,10,-3
514,3,4
515,11,-3
516,4,4
517,12,-3
518,4,5
